Run,Gen,Max_PDR,Avg_PDR
11,1,9.638297872340425,2.751063829787234
11,2,22.04255319148936,5.781914893617021
11,3,26.638297872340427,12.68617021276596
11,4,26.978723404255316,14.94574468085106
11,5,26.978723404255316,18.857446808510637
11,6,27.851063829787233,24.827659574468086
11,7,27.851063829787233,26.03489361702127
11,8,28.797872340425535,26.738829787234046
11,9,29.021276595744684,26.58755319148936
11,10,29.021276595744684,26.27372340425532
12,1,2.6808510638297873,0.8691489361702128
12,2,13.72340425531915,3.1521276595744685
12,3,14.617021276595747,4.480851063829787
12,4,19.29787234042553,10.422340425531916
12,5,22.819148936170215,11.241489361702126
12,6,22.819148936170215,15.036170212765956
12,7,25.042553191489365,19.46595744680851
12,8,26.914893617021278,23.724468085106384
12,9,27.925531914893615,25.367021276595743
12,10,27.925531914893615,26.937234042553193
13,1,5.595744680851064,1.0021276595744681
13,2,7.829787234042553,3.2308510638297876
13,3,8.23404255319149,4.934042553191489
13,4,19.75531914893617,7.770957446808511
13,5,28.010638297872344,11.817021276595742
13,6,28.010638297872344,16.59255319148936
13,7,28.010638297872344,20.23723404255319
13,8,28.414893617021274,22.48510638297872
13,9,28.680851063829788,23.186595744680854
13,10,28.881914893617022,27.54659574468085
14,1,20.382978723404253,4.488297872340425
14,2,23.159574468085108,8.738297872340425
14,3,23.159574468085108,13.480851063829785
14,4,27.127659574468083,20.21595744680851
14,5,27.22340425531915,22.069042553191487
14,6,27.22340425531915,22.685106382978724
14,7,28.9468085106383,26.431914893617023
14,8,28.9468085106383,23.77106382978723
14,9,28.9468085106383,26.51595744680851
14,10,29.138297872340424,26.634042553191485
15,1,4.74468085106383,1.420212765957447
15,2,26.30851063829787,8.476595744680852
15,3,26.563829787234045,18.854148936170212
15,4,26.563829787234045,21.111702127659573
15,5,26.563829787234045,19.821276595744685
15,6,26.563829787234045,19.365744680851066
15,7,28.627659574468083,24.661702127659574
15,8,28.829787234042552,26.12968085106383
15,9,28.829787234042552,24.56329787234042
15,10,28.829787234042552,27.340425531914896
16,1,10.840425531914894,2.19468085106383
16,2,22.425531914893618,7.39255319148936
16,3,23.382978723404253,13.746808510638294
16,4,25.168085106382982,17.99127659574468
16,5,26.819148936170212,22.53063829787234
16,6,28.585106382978726,23.042553191489365
16,7,28.585106382978726,24.301063829787235
16,8,28.585106382978726,26.655319148936172
16,9,28.617021276595743,26.2968085106383
16,10,29.03191489361702,27.57659574468085
17,1,2.734042553191489,0.7106382978723405
17,2,14.414893617021276,4.846808510638297
17,3,24.085106382978726,8.83404255319149
17,4,27.670212765957448,16.359574468085107
17,5,28.77659574468085,22.244680851063833
17,6,28.77659574468085,22.78723404255319
17,7,28.77659574468085,24.484042553191493
17,8,28.77659574468085,26.50457446808511
17,9,28.819148936170215,26.47659574468085
17,10,28.96808510638298,28.47978723404255
18,1,5.319148936170213,2.0361702127659576
18,2,18.340425531914896,5.794680851063831
18,3,18.340425531914896,5.39468085106383
18,4,19.76595744680851,9.845744680851064
18,5,27.80851063829787,14.460531914893616
18,6,27.80851063829787,14.548829787234045
18,7,27.97872340425532,19.49340425531915
18,8,27.97872340425532,19.40531914893617
18,9,27.97872340425532,15.864893617021277
18,10,29.19148936170213,22.983510638297872
19,1,20.51063829787234,3.373404255319149
19,2,20.851063829787233,8.274468085106385
19,3,22.861702127659576,9.588297872340426
19,4,26.085106382978722,18.348936170212763
19,5,28.574468085106382,23.32234042553192
19,6,28.574468085106382,25.769148936170218
19,7,28.574468085106382,23.16382978723404
19,8,28.574468085106382,25.60776595744681
19,9,28.839361702127658,26.5381914893617
19,10,29.010638297872344,27.67010638297872
20,1,2.8085106382978724,0.6840425531914893
20,2,3.9361702127659575,1.7946808510638295
20,3,3.9787234042553195,2.2914893617021277
20,4,3.9787234042553195,3.0393617021276595
20,5,4.117021276595745,3.0106382978723407
20,6,4.617021276595745,2.9904255319148936
