snapshot_no,time,vehicle_id,x,y
10,28.0,24,645349.65,5494005.68
10,28.0,25,646339.04,5493443.4
10,28.0,26,646336.46,5493421.48
10,28.0,27,645450.41,5493763.87
10,28.0,28,646202.52,5493757.48
10,28.0,29,646316.65,5493561.72
10,28.0,3,646336.43,5493468.36
10,28.0,30,645508.77,5493814.53
10,28.0,31,645178.86,5493983.24
10,28.0,32,644832.18,5493517.29
10,28.0,33,646599.46,5492733.84
10,28.0,34,646287.21,5493791.28
10,28.0,35,646321.73,5493551.89
10,28.0,36,645001.37,5493553.39
10,28.0,37,646191.81,5493333.73
10,28.0,38,645779.31,5493192.02
10,28.0,39,645759.66,5493565.56
10,28.0,4,646172.68,5493355.67
10,28.0,40,645856.73,5493652.92
10,28.0,41,645736.92,5493424.47
10,28.0,42,645708.47,5493463.68
10,28.0,43,645066.47,5493802.2
10,28.0,44,646379.91,5493703.79
10,28.0,45,644855.59,5493491.25
10,28.0,46,645325.41,5493858.47
10,28.0,47,644769.11,5493394.5
10,28.0,48,645483.88,5493861.19
10,28.0,5,644902.62,5493590.94
10,28.0,6,645730.6,5493466.16
10,28.0,7,646631.25,5493460.2
10,28.0,8,645734.73,5493361.96
10,28.0,9,645963.64,5493654.34
11,30.0,0,644834.39,5493512.27
11,30.0,1,646330.35,5493500.72
11,30.0,10,646423.84,5493705.22
11,30.0,11,645158.61,5493506.7
11,30.0,12,644901.83,5493588.68
11,30.0,13,645546.22,5493480.73
11,30.0,14,646040.67,5493660.72
11,30.0,15,646216.0,5493687.38
11,30.0,16,645891.46,5493652.71
11,30.0,17,644832.05,5493516.69
11,30.0,18,645313.57,5493988.42
11,30.0,19,644906.38,5493612.25
11,30.0,2,644766.85,5493592.69
11,30.0,20,646335.51,5493455.72
11,30.0,22,646350.84,5493451.78
11,30.0,24,645366.49,5494022.68
11,30.0,25,646339.04,5493443.4
11,30.0,26,646336.46,5493421.48
11,30.0,27,645438.95,5493785.1
11,30.0,28,646177.5,5493753.19
11,30.0,29,646319.44,5493546.26
11,30.0,3,646333.42,5493484.64
11,30.0,30,645525.15,5493787.84
11,30.0,31,645156.61,5493985.29
11,30.0,32,644842.26,5493496.4
11,30.0,33,646585.73,5492741.42
11,30.0,34,646287.0,5493807.88
11,30.0,35,646318.83,5493557.88
11,30.0,36,645032.56,5493542.34
11,30.0,37,646180.69,5493346.4
11,30.0,38,645754.34,5493201.96
11,30.0,39,645765.28,5493597.8
11,30.0,4,646163.16,5493369.81
11,30.0,40,645826.23,5493653.14
11,30.0,41,645738.3,5493440.21
11,30.0,42,645674.86,5493467.58
11,30.0,43,645062.17,5493776.14
11,30.0,44,646349.73,5493702.94
11,30.0,45,644871.39,5493499.04
11,30.0,46,645351.85,5493867.1
11,30.0,47,644728.47,5493413.37
11,30.0,48,645469.46,5493884.69
11,30.0,5,644919.25,5493589.02
11,30.0,6,645730.63,5493465.79
11,30.0,7,646648.38,5493477.68
11,30.0,8,645735.19,5493387.9
11,30.0,9,645939.95,5493653.58
12,32.0,0,644847.98,5493545.91
12,32.0,1,646327.48,5493515.97
12,32.0,10,646393.68,5493704.16
12,32.0,11,645191.88,5493499.29
12,32.0,12,644907.8,5493606.43
12,32.0,13,645524.32,5493496.95
12,32.0,14,646024.49,5493658.44
12,32.0,15,646241.41,5493690.87
12,32.0,16,645867.17,5493652.74
12,32.0,17,644837.18,5493498.46
12,32.0,18,645338.17,5493995.88
12,32.0,19,644899.69,5493592.31
12,32.0,2,644784.73,5493589.91
12,32.0,20,646335.51,5493455.72
12,32.0,22,646337.63,5493461.89
12,32.0,24,645379.08,5494027.16
12,32.0,25,646339.22,5493445.26
12,32.0,26,646336.59,5493422.59
